id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
81,14861,7.37745e-12,5.98785e-13,2.51128,0.0317183,0.048531,0.653568,169512,184114,0.92069,1.67311e+07,1.93891e+07,0.862914,Pass
1378,14873,0.000541541,7.76905e-14,22.665,0.167283,0.020229,8.26946,2.30381e+06,31322,73.5525,1.83481e+07,173317,105.864,Fail
1537,15145,6.44861e-05,2.84766e-13,19.238,0.0183803,0.016112,1.14078,92310,33316,2.77074,6.43868e+06,757657,8.49814,Fail
2738,15021,1.25581e-05,3.92004e-15,21.8875,0.017173,0.021018,0.817062,131716,92487,1.42416,1.04237e+07,5.42959e+06,1.91979,Fail
198,15337,3.67468e-12,1.38285e-12,0.977324,0.0272405,0.042138,0.646459,143030,211922,0.674918,9.24687e+06,1.7179e+07,0.538265,Pass
2666,15588,1.47885e-05,1.05017e-14,21.0656,0.0527815,0.014004,3.76903,409190,70900,5.77137,1.15533e+08,2.35595e+06,49.0386,Fail
2655,14038,7.07096e-06,4.0995e-16,23.571,0.0139614,0.010017,1.39377,43211,22240,1.94294,663943,143725,4.61954,Pass
139,16744,1.92381e-15,1.81062e-16,2.36322,0.0148323,0.008427,1.76009,13928,10837,1.28523,5.67464e+06,3.46223e+06,1.63901,Pass
329,17088,0.000124728,9.02092e-14,21.0473,0.010653,0.011432,0.931858,68795,71963,0.955977,6.23096e+06,6.13661e+06,1.01538,Fail
539,13151,7.33367e-06,1.11089e-16,24.9132,0.0297678,0.008511,3.49757,58226,17159,3.39332,2.72463e+06,121318,22.4586,Pass
2743,17280,1.50826e-05,4.15528e-15,22.0124,0.0215933,0.022833,0.945706,137737,100188,1.37479,9.50651e+06,6.22484e+06,1.52719,Fail
2739,17397,1.59046e-05,1.03816e-14,21.1498,0.021562,0.02211,0.975215,152242,113439,1.34206,1.28151e+07,7.74038e+06,1.65562,Fail
1360,17801,3.92318e-06,1.91674e-15,21.4395,0.0527241,0.042351,1.24493,421148,314545,1.33891,1.55422e+08,1.00359e+08,1.54867,Pass
2723,17907,5.43321e-05,1.2977e-14,22.1552,0.194064,0.020883,9.29292,1.04944e+06,79407,13.216,5.40601e+08,2.85829e+06,189.135,Fail
199,17980,1.17738e-11,1.23851e-12,2.25196,0.0301931,0.075948,0.39755,180331,272947,0.660681,1.38919e+07,2.62703e+07,0.528805,Pass
