id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
2670,36741,2.15313e-10,4.40754e-14,8.49395,0.147654,0.027239,5.42068,1.90169e+06,239882,7.9276,1.44831e+09,1.37145e+07,105.604,Pass
2669,36789,1.32403e-10,1.7899e-14,8.90886,0.135723,0.029472,4.60515,1.81598e+06,243695,7.45186,1.29437e+09,1.36405e+07,94.8923,Pass
1866,36879,1.12439e-15,1.66533e-16,1.9098,0.151943,0.013599,11.1731,5.1457e+06,38932,132.171,6.66189e+07,139333,478.127,Pass
2728,37147,7.47208e-09,1.54978e-14,13.086,0.714679,0.023684,30.1756,4.97791e+06,160816,30.9541,5.69756e+09,5.6369e+06,1010.76,Pass
735,15914,1.76338e-13,1.19085e-13,0.392564,0.0106598,0.005166,2.06345,55838,40982,1.3625,2.05702e+06,1.11423e+06,1.84614,Pass
2727,37339,8.02214e-08,2.37931e-14,15.0309,0.70211,0.032896,21.3433,4.66381e+06,167795,27.7947,5.15516e+09,6.50266e+06,792.777,Pass
1206,37465,1.4418e-10,2.55983e-16,13.2415,0.0236568,0.017382,1.36099,365416,226395,1.61406,2.43411e+07,1.05888e+07,2.29876,Pass
2671,37680,4.65592e-09,3.40931e-14,11.8246,0.165259,0.031757,5.20386,2.01004e+06,247673,8.11568,1.58336e+09,1.41903e+07,111.58,Pass
2278,405,4.69156e-15,3.83374e-16,2.50451,0.000293589,0.000393,0.747046,1083,542,1.99815,5848,980,5.96735,Pass
2729,37891,1.61447e-09,1.24693e-14,11.7713,0.763313,0.028571,26.7164,4.90509e+06,164192,29.8741,5.42245e+09,5.69858e+06,951.544,Pass
2672,38136,2.32836e-10,7.92172e-14,7.9859,0.162403,0.031086,5.22431,2.01066e+06,242294,8.29841,1.49553e+09,1.32371e+07,112.98,Pass
568,27491,1.18802e-12,7.22869e-14,2.7994,0.0480635,0.026094,1.84194,504060,123095,4.09489,1.18269e+08,6.88843e+06,17.1692,Pass
363,39208,0.000121806,3.35448e-14,22.0128,0.0222821,0.012319,1.80876,353876,142578,2.48198,5.18024e+07,1.0032e+07,5.16369,Fail
2733,39669,4.90801e-09,1.69189e-14,12.5779,0.481528,0.026136,18.4239,4.10632e+06,192037,21.383,4.56763e+09,9.35341e+06,488.338,Pass
2681,39961,7.68389e-07,6.78146e-15,18.5456,0.0614448,0.031607,1.94403,680576,197171,3.4517,1.29147e+08,7.99301e+06,16.1575,Pass
2683,40051,1.14359e-06,9.43716e-15,18.6128,0.0829879,0.04756,1.74491,767168,179749,4.268,1.57356e+08,5.60348e+06,28.0819,Pass
2682,40077,6.53674e-07,3.48728e-15,19.049,0.079439,0.05881,1.35077,776622,185527,4.18603,1.51908e+08,6.26141e+06,24.2609,Pass
424,37200,9.2569e-14,4.21088e-14,0.787699,0.0127699,0.009083,1.40591,164239,106449,1.54289,1.46633e+07,7.5134e+06,1.95162,Pass
866,40965,1.54928e-11,1.55841e-12,2.29671,0.0305598,0.045996,0.664401,324469,479517,0.676658,1.94812e+07,3.8877e+07,0.501099,Pass
2351,36909,9.06602e-10,2.08024e-14,10.6824,0.0162643,0.01598,1.01779,83267,62394,1.33454,1.03938e+06,511845,2.03065,Pass
312,41746,1.14185e-10,3.7481e-13,5.71915,0.0582812,0.037863,1.53927,919255,437746,2.09997,1.63491e+08,4.4664e+07,3.66047,Pass
2684,41937,3.70494e-07,1.40919e-14,17.0847,0.0996956,0.040679,2.45079,825530,200239,4.12272,1.74011e+08,7.71571e+06,22.5529,Pass
825,41814,3.23054e-11,8.24513e-15,8.27337,0.0284791,0.021011,1.35544,474154,276643,1.71396,5.85659e+07,2.23523e+07,2.62013,Pass
1404,41952,0.000377727,5.3444e-14,22.6788,0.0220654,0.018133,1.21686,82627,63162,1.30818,4.34942e+06,782458,5.55867,Fail
923,42576,4.85396e-10,1.84851e-12,5.57058,0.0432098,0.024482,1.76496,621787,292160,2.12824,7.22586e+07,1.95475e+07,3.69658,Pass
1185,30003,2.99671e-12,4.70882e-14,4.15325,0.0182838,0.011261,1.62364,122321,36237,3.37558,3.92584e+07,184902,212.32,Pass
2686,43295,8.13011e-06,7.09189e-15,20.8599,0.0952442,0.034996,2.72157,831180,212854,3.90493,1.79272e+08,7.49767e+06,23.9104,Pass
2687,43375,1.46563e-06,3.52692e-14,17.5425,0.110513,0.059059,1.87123,805063,214471,3.75371,1.87571e+08,7.57978e+06,24.7462,Pass
420,42760,1.02073e-08,2.35802e-13,10.6756,0.0171559,0.009312,1.84234,222848,113595,1.96178,1.62647e+07,4.78088e+06,3.40204,Pass
1548,43731,2.44178e-09,7.17192e-12,5.83031,0.0618318,0.018887,3.27378,832525,93950,8.86136,2.24424e+08,2.20276e+06,101.883,Pass
2685,43991,4.98227e-07,5.70554e-15,18.2851,0.0790405,0.042912,1.84192,765260,223692,3.42104,1.69904e+08,8.86017e+06,19.1762,Pass
2688,44003,1.21634e-06,1.61426e-14,18.1377,0.112071,0.046752,2.39714,884708,215130,4.11243,2.05881e+08,7.3512e+06,28.0064,Pass
918,41767,7.82316e-08,2.94135e-12,10.1886,0.0609195,0.046603,1.3072,797287,493064,1.61701,6.79932e+07,2.96174e+07,2.29572,Pass
2352,39438,7.37735e-10,4.71859e-11,2.74949,0.0170216,0.01711,0.994833,83109,63652,1.30568,935685,427840,2.187,Pass
2697,42465,1.90735e-06,3.11004e-14,17.9318,0.114442,0.077725,1.4724,1.92185e+06,516319,3.72222,6.1502e+08,3.39872e+07,18.0956,Pass
2348,34921,2.2618e-09,2.59929e-11,4.46609,0.0147554,0.015243,0.968012,81182,60917,1.33267,988196,514656,1.92011,Pass
1427,9,2.77556e-17,2.22045e-16,-2.07944,3.3609e-05,9.8e-05,0.342949,11,10,1.1,9,9,1,Pass
547,41057,7.95464e-08,6.63623e-13,11.6941,0.0646256,0.050909,1.26943,840340,692675,1.21318,1.88439e+08,1.40324e+08,1.34289,Pass
1891,43620,4.43602e-07,4.21447e-13,13.8667,0.135353,0.107117,1.2636,2.08455e+06,1.49329e+06,1.39594,7.5691e+08,4.19212e+08,1.80556,Pass
865,46187,1.09952e-10,1.08247e-12,4.6208,0.0388352,0.055662,0.697697,443480,544749,0.8141,3.95107e+07,3.38642e+07,1.16674,Pass
466,1896,7.59393e-14,3.33067e-16,5.42935,0.00161264,0.000915,1.76245,15295,3166,4.83102,675616,15540,43.4759,Pass
1190,46560,3.79362e-16,2.72135e-17,2.63478,0.0394018,0.294894,0.133613,37563,503002,0.0746776,2.42455e+07,3.78949e+08,0.0639808,Pass
372,34024,2.43048e-14,3.36186e-12,-4.92958,0.0151521,0.015579,0.972598,78671,52264,1.50526,763785,215743,3.54025,Pass
2340,37272,2.54622e-09,2.36573e-14,11.5864,0.0158933,0.01499,1.06026,84773,59333,1.42877,1.05232e+06,419763,2.50693,Pass
421,47901,8.13243e-10,2.67412e-14,10.3226,0.0198326,0.011668,1.69974,277618,156803,1.77049,1.80844e+07,6.10495e+06,2.96226,Pass
2346,35566,1.47714e-09,4.90658e-14,10.3125,0.0145286,0.014046,1.03436,81823,56788,1.44085,1.09357e+06,403523,2.71005,Pass
2341,37380,1.80185e-09,2.77096e-14,11.0825,0.0160482,0.015086,1.06378,84921,59481,1.4277,1.05306e+06,420253,2.50577,Pass
1197,2446,1.91726e-11,1.33313e-15,9.5737,0.00154994,0.00091,1.70323,6576,2654,2.47777,34194,4803,7.1193,Pass
2353,42120,1.13087e-09,3.45041e-14,10.3974,0.019908,0.019848,1.00302,91533,68783,1.33075,1.03706e+06,490010,2.11641,Pass
1250,45083,1.04084e-09,1.32395e-12,6.66716,0.0692147,0.046253,1.49644,954066,625440,1.52543,1.7558e+08,8.06691e+07,2.17654,Pass
437,48340,1.50146e-10,2.16814e-13,6.54032,0.019566,0.009387,2.08437,263223,135641,1.94059,1.93528e+07,5.82079e+06,3.32477,Pass
1544,49635,4.9266e-10,3.01065e-14,9.70283,0.0914134,0.023124,3.95318,973294,239457,4.06459,3.30658e+08,2.66084e+07,12.4268,Pass
1612,49699,2.12806e-08,1.10385e-14,14.4719,0.045086,0.027516,1.63854,708705,399242,1.77513,6.18838e+07,2.31155e+07,2.67716,Pass
2564,51400,2.36441e-05,4.27848e-12,15.525,0.0231844,0.015232,1.52209,182902,122540,1.49259,3.00635e+06,1.47736e+06,2.03495,Fail
2104,51480,2.46027e-10,3.51762e-12,4.24766,2.89545,2.21232,1.30879,1.50687e+07,1.64223e+07,0.917578,3.32372e+10,3.74569e+10,0.887346,Pass
2698,50488,0.000488281,8.04706e-14,22.5263,0.208779,0.061658,3.38608,2.88193e+06,422752,6.81708,1.16314e+09,2.69911e+07,43.0936,Fail
