id	myErr	umfErr	ratio	myElaps	umfElaps	ratio	mynnz	umfnnz	ratio	myflop	umfflop	ratio
92	1.84859e-12	6.34215e-14	29.1477	0.450723	0.01209	37.2806	78359	31984	2.44994	3.33091e+06	893160	3.72936	Pass
2562	1.0707e-07	6.52075e-14	1.642e+06	0.296147	0.008006	36.9906	48776	35202	1.3856	874904	484572	1.80552	Pass
2418	3.88023e-14	1.80411e-16	215.077	0.280313	0.01448	19.3586	40557	27430	1.47856	341873	111149	3.07581	Pass
197	5.31097e-12	2.15886e-13	24.6008	0.50879	0.027156	18.7358	116178	140239	0.828429	6.2362e+06	6.55234e+06	0.951752	Pass
2675	5.30457e-07	1.69474e-14	3.13002e+07	1.06003	0.015494	68.4158	211565	49846	4.24437	3.12575e+07	1.29733e+06	24.0937	Pass
1196	2.54187e-12	3.36979e-16	7543.11	12.6445	0.006227	2030.59	3.28052e+06	13429	244.286	3.93086e+09	23952	164114	Pass
1170	1.81899e-12	1.33492e-18	1.36262e+06	0.21385	0.003738	57.2097	14992	13203	1.1355	7550	823	9.17375	Pass
838	4.16049e-14	3.73912e-15	11.1269	0.250197	0.004883	51.2384	45960	30676	1.49824	957450	491334	1.94867	Pass
1942	1.19926e-12	5.61183e-16	2137.03	0.168929	0.006933	24.3659	17063	15104	1.1297	429823	338585	1.26947	Pass
2737	1.18387e-11	1.71473e-15	6904.09	0.603911	0.02002	30.1654	130542	87730	1.488	1.18999e+07	5.33843e+06	2.2291	Pass
252	8.55518e-05	1.11022e-16	7.70582e+11	0.323195	0.003462	93.355	49756	23115	2.15254	2.54974e+06	793141	3.21473	Fail
227	6.00953e-09	3.40706e-16	1.76385e+07	1.35596	0.037199	36.4515	319763	154159	2.07424	3.93293e+07	1.31481e+07	2.99124	Pass
1053	6.32753e-13	1.28503e-16	4924.05	5.34596	0.01198	446.24	718459	18955	37.9034	2.16075e+08	74056	2917.72	Pass
324	1.59817e-10	2.65358e-16	602269	0.790057	0.013126	60.1902	157857	82079	1.92323	7.72101e+06	2.4188e+06	3.19208	Pass
2692	4.94221e-11	2.72422e-14	1814.18	6.65746	0.010169	654.682	1.30145e+06	35400	36.7642	7.65745e+08	389771	1964.6	Pass
81	9.17694e-12	8.58327e-13	10.6917	0.832147	0.035626	23.3579	170652	184125	0.926827	1.34026e+07	1.34753e+07	0.994607	Pass
1378	1.16462e-10	7.76905e-14	1499.06	8.88166	0.012137	731.784	27985	31322	0.893461	141482	173317	0.816319	Pass
1537	3.31284e-10	2.84766e-13	1163.35	0.551635	0.010975	50.2629	92338	33316	2.77158	5.09707e+06	755851	6.74348	Pass
2738	4.28247e-11	3.72041e-15	11510.7	0.679037	0.031269	21.716	139893	93860	1.49044	1.14364e+07	5.65258e+06	2.02322	Pass
198	6.47047e-12	1.38285e-12	4.6791	0.704653	0.037013	19.038	144718	211922	0.682883	8.15759e+06	1.49474e+07	0.545753	Pass
2666	3.63726e-10	1.05017e-14	34634.8	1.89201	0.013947	135.657	398508	70900	5.62071	1.03219e+08	2.35378e+06	43.8526	Pass
2655	1.61726e-10	5.76308e-16	280624	0.40436	0.01046	38.6577	70139	24944	2.81186	1.47287e+06	145411	10.129	Pass
139	1.28543e-15	1.81062e-16	7.0994	0.282369	0.008046	35.0943	14590	10837	1.34631	116075	116509	0.996275	Pass
329	4.47125e-10	9.02092e-14	4956.54	0.347555	0.011596	29.972	70715	71963	0.982658	6.54838e+06	6.13661e+06	1.0671	Pass
539	4.01471e-15	1.11089e-16	36.1396	0.582546	0.008316	70.0512	63004	17159	3.67178	3.33008e+06	121318	27.4492	Pass
2743	2.28488e-11	5.35487e-15	4266.92	0.751007	0.024946	30.1053	150998	95478	1.5815	1.10125e+07	4.88624e+06	2.25377	Pass
2739	3.75751e-11	7.73575e-15	4857.33	0.810412	0.022399	36.1807	166811	117688	1.4174	1.48725e+07	8.17777e+06	1.81865	Pass
1360	6.17073e-10	1.91674e-15	321939	1.7764	0.04737	37.5005	432992	314545	1.37657	1.65474e+08	1.00359e+08	1.64883	Pass
2723	6.05778e-08	1.35526e-14	4.46982e+06	6.15651	0.025475	241.669	1.19541e+06	79532	15.0305	6.52338e+08	2.85643e+06	228.376	Pass
199	6.32364e-11	1.23851e-12	51.0583	0.878897	0.05676	15.4844	183751	272947	0.673211	1.20247e+07	2.30059e+07	0.52268	Pass
