id	myErr	umfErr	ratio	myElaps	umfElaps	ratio	mynnz	umfnnz	ratio	myflop	umfflop	ratio
156	1.79563e-12	3.42323e-14	52.4544	0.540959	0.022009	24.579	91400	60269	1.51653	1.56982e+06	573553	2.737	Pass
2725	5.96046e-08	9.96636e-15	5.98058e+06	20.1565	0.049205	409.643	3.80274e+06	148129	25.6718	3.71546e+09	5.60073e+06	663.388	Pass
1545	1.81421e-10	3.85715e-14	4703.5	3.08833	0.025819	119.615	718036	69382	10.349	2.00996e+08	1.31427e+06	152.934	Pass
2350	2.29178e-11	8.488e-15	2700.03	0.50976	0.025973	19.6265	67971	56585	1.20122	659640	455868	1.447	Pass
2680	7.78141e-07	2.6229e-15	2.96672e+08	4.33552	0.060436	71.7374	584652	161557	3.61886	8.62599e+07	5.48442e+06	15.7282	Pass
1444	7.36618e-15	2.54388e-16	28.9565	1.38309	0.025294	54.6805	300809	118315	2.54244	1.55155e+07	2.59779e+06	5.97258	Pass
2726	8.65536e-09	7.10622e-15	1.218e+06	21.6899	0.058682	369.618	4.04573e+06	155802	25.9671	4.16588e+09	5.61765e+06	741.571	Pass
1543	1.22226e-10	6.95569e-13	175.722	2.13602	0.030298	70.5003	515898	84019	6.14025	8.61773e+07	2.5275e+06	34.0959	Pass
370	2.69287e-13	1.31864e-16	2042.15	12.6112	0.01836	686.884	489867	42255	11.5931	3.51057e+07	669456	52.4392	Pass
2668	1.99307e-10	3.11025e-14	6408.07	6.87041	0.033898	202.679	1.62145e+06	196652	8.24529	1.04225e+09	8.41397e+06	123.872	Pass
2670	4.17545e-10	2.32722e-14	17941.8	8.013	0.067439	118.819	1.91845e+06	239858	7.99826	1.47463e+09	1.36988e+07	107.647	Pass
2669	6.26567e-10	2.13742e-14	29314.2	7.63893	0.09165	83.349	1.80574e+06	243645	7.41137	1.28595e+09	1.36351e+07	94.3117	Pass
1866	3.63806e-12	6.10623e-16	5957.95	38.0847	0.039018	976.081	5.14726e+06	38932	132.212	4.00135e+07	139326	287.194	Pass
2728	2.38419e-07	1.15782e-14	2.0592e+07	22.9342	0.066769	343.485	4.39946e+06	160588	27.3959	4.73886e+09	5.60418e+06	845.593	Pass
735	9.00989e-13	7.43257e-15	121.222	0.74023	0.021709	34.0978	134577	93429	1.44042	4.93114e+06	2.46917e+06	1.99709	Pass
2727	7.35575e-08	1.48352e-14	4.95833e+06	23.9232	0.080528	297.08	4.18613e+06	167585	24.9791	4.30492e+09	6.49002e+06	663.314	Pass
1206	7.13632e-12	4.38582e-16	16271.3	1.73879	0.040073	43.3905	387554	226395	1.71185	2.69396e+07	1.05888e+07	2.54416	Pass
2671	4.43183e-10	1.74112e-14	25453.9	8.4127	0.091015	92.432	1.99204e+06	247646	8.04392	1.557e+09	1.41799e+07	109.803	Pass
2278	7.51681e-13	3.46945e-18	216657	2.53225	0.008701	291.03	271130	38060	7.12375	3.44146e+06	18844	182.629	Pass
2729	7.62747e-10	9.79403e-15	77878.7	23.5655	0.043431	542.597	4.27372e+06	164033	26.054	4.19847e+09	5.67562e+06	739.739	Pass
2672	2.32836e-10	3.28547e-14	7086.84	8.56104	0.083333	102.733	2.05929e+06	242269	8.50002	1.62131e+09	1.32335e+07	122.515	Pass
568	2.32903e-10	1.04393e-13	2231.02	2.82004	0.051708	54.5378	499046	138495	3.60335	9.53547e+07	8.26016e+06	11.5439	Pass
363	5.99547e-05	2.13459e-14	2.80873e+09	1.68428	0.052323	32.1901	361824	142578	2.53773	5.34688e+07	1.0032e+07	5.3298	Fail
2733	4.66121e-09	7.11958e-15	654703	18.1847	0.070775	256.937	4.04586e+06	192038	21.068	4.53297e+09	9.35008e+06	484.806	Pass
2681	1.9521e-07	8.8234e-15	2.21241e+07	5.07752	0.087377	58.1105	743937	193242	3.84977	1.32548e+08	7.60826e+06	17.4217	Pass
2683	1.77339e-06	5.32951e-15	3.32749e+08	5.97924	0.077671	76.9816	812891	182899	4.44448	1.70616e+08	5.90042e+06	28.9159	Pass
2682	3.25411e-06	2.836e-15	1.14743e+09	4.35875	0.09372	46.5082	711310	193102	3.6836	1.20766e+08	7.12033e+06	16.9607	Pass
424	8.96492e-13	2.70745e-14	33.112	2.01804	0.019007	106.174	437393	108843	4.01857	1.25532e+08	7.71116e+06	16.2793	Pass
866	1.0678e-11	1.40621e-12	7.59348	1.44849	0.089239	16.2315	329872	466503	0.707117	1.69875e+07	3.16942e+07	0.53598	Pass
2351	2.29178e-11	6.58088e-15	3482.49	0.525656	0.028722	18.3015	76423	65081	1.17428	663326	473432	1.4011	Pass
312	8.00952e-11	1.58398e-13	505.657	3.95792	0.065578	60.3544	930034	437746	2.1246	1.63542e+08	4.46606e+07	3.66188	Pass
2684	5.18482e-07	1.46247e-14	3.54526e+07	5.99839	0.061706	97.2092	794796	200931	3.95557	1.46619e+08	7.87685e+06	18.614	Pass
825	1.78651e-11	9.15635e-15	1951.11	1.96092	0.039566	49.5607	470497	277038	1.69831	5.79282e+07	2.23523e+07	2.5916	Pass
1404	0.000390588	5.3444e-14	7.30837e+09	0.859263	0.032485	26.4511	82779	63680	1.29992	553355	268604	2.06011	Fail
923	7.38233e-10	1.54683e-12	477.255	2.55544	0.053093	48.1315	611968	292165	2.0946	7.0145e+07	1.95475e+07	3.58845	Pass
1185	2.19904e-11	2.62611e-14	837.375	11.6282	0.024104	482.418	912457	48006	19.0071	8.14754e+07	119302	682.934	Pass
2686	2.60229e-06	1.01592e-15	2.56152e+09	5.39436	0.093482	57.7048	842640	225647	3.73433	1.63515e+08	8.71568e+06	18.761	Pass
2687	1.06263e-06	2.85834e-14	3.71765e+07	6.63878	0.090275	73.5396	747084	216733	3.44702	1.258e+08	7.75828e+06	16.215	Pass
420	1.19679e-08	1.36201e-13	87869.1	1.07605	0.016006	67.228	219351	113605	1.93082	1.55966e+07	4.77832e+06	3.26402	Pass
1548	4.16923e-09	9.63245e-12	432.831	3.70379	0.036319	101.979	857586	93820	9.14076	2.31686e+08	2.19145e+06	105.722	Pass
2685	4.43852e-06	5.24017e-15	8.47018e+08	6.34179	0.080588	78.6939	774564	224837	3.445	1.47825e+08	9.57578e+06	15.4374	Pass
2688	1.78064e-07	1.36873e-14	1.30094e+07	7.08125	0.083166	85.1459	823125	218419	3.76856	1.52142e+08	7.71805e+06	19.7125	Pass
918	2.98023e-08	2.64152e-12	11282.2	3.80907	0.083821	45.443	772515	508540	1.51908	5.88991e+07	3.45408e+07	1.7052	Pass
2352	2.52379e-11	4.23447e-15	5960.1	0.588099	0.031416	18.7197	82740	69424	1.19181	720255	479583	1.50184	Pass
2697	1.90735e-06	1.97993e-14	9.63341e+07	10.2437	0.160469	63.8357	1.7984e+06	454913	3.95328	6.05659e+08	2.64592e+07	22.8903	Pass
2348	2.383e-11	4.19456e-15	5681.18	0.576063	0.021636	26.6252	82704	67190	1.2309	706351	432046	1.6349	Pass
1427	2.37135e-16	2.20188e-16	1.07697	0.331475	0.030397	10.9049	50001	50000	1.00002	45000	45000	1	Pass
547	1.7212e-06	5.41038e-13	3.1813e+06	5.17599	0.107468	48.1631	1.13779e+06	690071	1.6488	3.27368e+08	1.39357e+08	2.34912	Pass
1891	2.25566e-06	2.86081e-13	7.8847e+06	10.2632	0.253346	40.5106	2.14442e+06	1.49959e+06	1.43	6.97612e+08	4.07591e+08	1.71155	Pass
865	1.42177e-10	3.99205e-13	356.152	1.94979	0.112149	17.3858	445274	500359	0.889909	3.47951e+07	2.78914e+07	1.24752	Pass
466	9.09495e-12	4.94396e-17	183961	5.42843	0.017592	308.574	41499	36538	1.13578	191989	137232	1.39901	Pass
1190	0	5.86011e-17	0	1.32161	0.548501	2.40949	38524	47605	0.809243	54018	66986	0.806407	Pass
372	1.21056e-15	1.21743e-13	0.00994352	14.3946	0.040721	353.493	287159	70398	4.07908	2.48981e+07	318035	78.2874	Pass
2340	2.433e-11	1.4898e-14	1633.1	0.594182	0.030519	19.4692	89882	71246	1.26157	730042	425250	1.71674	Pass
421	2.19652e-10	1.05828e-14	20755.6	1.2488	0.030479	40.9724	277570	156797	1.77025	1.80463e+07	6.1039e+06	2.95653	Pass
2346	2.10774e-11	9.65684e-15	2182.64	0.664834	0.047672	13.946	89621	70485	1.27149	723074	408441	1.77033	Pass
2341	2.07932e-11	8.96376e-15	2319.7	0.595277	0.030268	19.6669	90050	71428	1.26071	729953	425711	1.71467	Pass
1197	9.67549e-10	6.7394e-16	1.43566e+06	196.317	0.022395	8766.1	5.20371e+07	51258	1015.2	2.50075e+11	67408	3.70986e+06	Pass
2353	2.52379e-11	1.89163e-14	1334.19	0.637182	0.045971	13.8605	89854	75915	1.18361	737637	491698	1.50018	Pass
1250	6.59333e-11	6.2869e-13	104.874	4.10909	0.119648	34.3432	981020	625738	1.56778	1.84467e+08	7.91636e+07	2.3302	Pass
437	5.4727e-11	1.23734e-14	4422.96	1.25691	0.017713	70.9596	261345	139646	1.87148	1.96423e+07	6.16844e+06	3.18432	Pass
1544	5.72791e-10	3.23389e-14	17712.1	4.87272	0.057549	84.6708	931376	239457	3.88953	3.06553e+08	2.66084e+07	11.5209	Pass
1612	1.3321e-07	4.35521e-15	3.05865e+07	3.14792	0.063934	49.2371	731062	399242	1.83112	6.61102e+07	2.31155e+07	2.86	Pass
2564	3.04637e-06	4.18383e-12	728130	0.996526	0.028616	34.8241	184014	122534	1.50174	3.03139e+06	1.46669e+06	2.06683	Pass
2104	1.8e-10	3.49912e-12	51.4417	70.9023	2.97301	23.8486	1.44102e+07	1.62873e+07	0.884752	2.746e+10	3.42562e+10	0.801609	Pass
2698	0.00390625	6.78347e-14	5.75848e+10	14.4606	0.12809	112.894	2.59317e+06	445923	5.8153	1.05509e+09	2.77557e+07	38.0136	Fail
902	1.67553e-12	5.46449e-15	306.622	58.7108	0.167164	351.217	4.32882e+06	466636	9.27665	2.62804e+09	7.34229e+07	35.7932	Pass
432	2.72957e-09	4.50512e-13	6058.82	1.56307	0.05997	26.0643	335401	215181	1.55869	2.16184e+07	9.57193e+06	2.25852	Pass
1243	4.57764e-05	6.1916e-13	7.3933e+07	3.32825	0.118237	28.149	751552	599839	1.25292	9.01717e+07	6.00527e+07	1.50154	Fail
2245	8.3188e-13	7.5977e-17	10949.1	1.43504	0.026867	53.4127	78748	57726	1.36417	279750	94134	2.97183	Pass
1551	2.32771e-10	8.19367e-14	2840.87	23.2825	0.064842	359.065	5.08466e+06	71449	71.1649	6.19174e+09	686071	9024.93	Pass
438	0.0161596	4.75825e-16	3.39612e+13	1.67676	0.029594	56.6588	346240	114942	3.0123	4.54898e+07	4.99997e+06	9.09802	Fail
2818	2.61529e-10	3.87922e-14	6741.8	1.76761	0.020631	85.6772	407028	144239	2.8219	4.20052e+07	6.35659e+06	6.60814	Pass
1552	2.97269e-08	3.19277e-13	93107	14.85	0.038136	389.395	2.69411e+06	103039	26.1465	1.33471e+09	2.0266e+06	658.598	Pass
77	3.47524e-10	9.10041e-16	381877	0.867351	0.019449	44.5962	162375	110274	1.47247	1.07094e+07	5.18735e+06	2.06452	Pass
580	7.53862e-08	1.29758e-12	58097.4	9.35202	0.309643	30.2026	1.8386e+06	1.4306e+06	1.2852	6.27685e+08	5.69015e+08	1.10311	Pass
454	8.95649e-13	4.62571e-15	193.624	0.94368	0.024195	39.0031	104305	77575	1.34457	1.74719e+06	1.04977e+06	1.66436	Pass
840	1.01172e-12	2.94941e-15	343.024	0.960675	0.018408	52.1879	208712	107509	1.94134	6.76281e+06	1.8833e+06	3.59094	Pass
2425	1.18779e-08	8.26779e-12	1436.65	4.28936	0.134733	31.836	977770	675643	1.44717	1.04605e+08	5.57875e+07	1.87506	Pass
2424	5.07052e-10	1.34899e-12	375.875	3.74962	0.109457	34.2565	1.03002e+06	679670	1.51547	1.10646e+08	4.87062e+07	2.27171	Pass
465	4.69053e-09	6.67825e-15	702358	3.20539	0.015916	201.394	499685	80406	6.21452	1.02584e+08	1.03125e+06	99.4756	Pass
2415	2.15658e-11	3.74145e-13	57.6403	3.21751	0.129503	24.8451	682164	475197	1.43554	6.68833e+07	3.32597e+07	2.01094	Pass
2414	6.53226e-11	8.12237e-13	80.4231	4.37992	0.139398	31.4203	1.11758e+06	602160	1.85595	1.29405e+08	5.12368e+07	2.52563	Pass
1245	1.99432e-10	1.71271e-12	116.442	9.67507	0.383066	25.2569	2.30732e+06	2.14472e+06	1.07581	5.67155e+08	5.6303e+08	1.00733	Pass
1868	1.89784e-11	4.97042e-16	38182.6	8.54502	0.042248	202.259	2.19447e+06	124484	17.6286	7.34894e+08	3.75447e+06	195.738	Pass
756	5.83749e-12	3.01651e-14	193.518	1.7285	0.100808	17.1465	305001	187328	1.62817	9.51678e+06	3.12071e+06	3.04955	Pass
841	3.56043e-13	2.23378e-15	159.39	1.2015	0.025729	46.6984	233529	128698	1.81455	1.12397e+07	3.62889e+06	3.09727	Pass
2354	7.276e-11	1.00267e-15	72566.3	0.862418	0.044026	19.5888	115037	95244	1.20781	907255	648514	1.39898	Pass
1554	7.43631e-09	3.26928e-14	227460	8.42479	0.06921	121.728	1.56223e+06	282066	5.53853	5.70997e+08	2.16448e+07	26.3804	Pass
2850	2.8366e-12	2.96675e-14	95.6129	1.11947	0.021607	51.8108	262634	86357	3.04126	6.31045e+07	5.49234e+06	11.4895	Pass
919	5.96173e-08	1.86179e-13	320215	6.48195	0.171289	37.8422	1.26836e+06	916610	1.38375	1.10292e+08	6.87841e+07	1.60345	Pass
453	2.04124e-15	8.41e-15	0.242715	1.81274	0.05989	30.2679	294630	211803	1.39106	6.18166e+06	4.36599e+06	1.41587	Pass
1191	0	8.8227e-18	0	2.13945	0.587958	3.63879	52587	66229	0.794018	74051	94353	0.784829	Pass
1553	8.52821e-11	2.81029e-14	3034.64	6.13716	0.04672	131.361	1.29984e+06	154535	8.41129	3.22273e+08	4.26519e+06	75.5589	Pass
1549	8.37098e-12	3.06366e-13	27.3235	23.319	0.03196	729.631	5.74084e+06	79210	72.4762	8.21833e+09	1.19893e+06	6854.71	Pass
1555	5.2737e-10	5.9426e-14	8874.4	12.9163	0.066194	195.128	2.59213e+06	159337	16.2682	9.69327e+08	9.01343e+06	107.543	Pass
377	5.38561e-14	2.69303e-16	199.984	1.57529	0.040809	38.6014	328859	293958	1.11873	1.82578e+07	1.68765e+07	1.08184	Pass
412	1.43668e-06	1.4521e-13	9.89383e+06	4.23412	0.067078	63.1224	941901	564699	1.66797	1.75871e+08	5.96292e+07	2.94941	Pass
1432	3.98e-06	3.98751e-16	9.98117e+09	4.18835	0.076351	54.8565	1.01574e+06	580843	1.74873	9.80665e+07	3.82861e+07	2.56141	Pass
1212	4.67237e-11	7.11143e-17	657023	0.767501	0.033318	23.0356	93798	78072	1.20143	369050	209231	1.76384	Pass
433	5.73239e-14	2.94504e-16	194.646	1.46751	0.043671	33.6038	282764	192581	1.46829	2.76402e+07	1.34297e+07	2.05814	Pass
1622	9.01097e-13	4.33268e-15	207.977	0.857259	0.031331	27.3614	135971	226838	0.599419	2.60345e+06	9.50776e+06	0.273823	Pass
417	7.37765e-13	8.42747e-14	8.75428	2.1683	0.058482	37.0763	494353	266593	1.85434	5.57753e+07	1.8063e+07	3.08781	Pass
2430	2.71683e-12	2.23952e-14	121.313	2.60061	0.124498	20.8888	323806	283041	1.14403	1.37475e+07	1.20008e+07	1.14555	Pass
2197	1.16935e-10	7.9554e-13	146.988	21.8527	0.912586	23.946	5.4203e+06	4.65627e+06	1.16409	7.60949e+09	5.53172e+09	1.37561	Pass
414	0.000167172	4.83001e-15	3.46112e+10	2.62044	0.062639	41.834	562365	347375	1.6189	4.73583e+07	1.8038e+07	2.62548	Fail
2279	4.6974e-13	2.08167e-17	22565.6	5.95425	0.013522	440.338	654733	73430	8.91642	1.54022e+06	28350	54.3286	Pass
1242	0.0574265	3.4574e-13	1.66097e+11	33.9843	1.39236	24.4076	8.47845e+06	8.49294e+06	0.998294	6.36969e+09	8.29119e+09	0.768248	Fail
1556	5.24875e-10	3.73016e-13	1407.11	8.68481	0.094512	91.8911	2.19223e+06	313105	7.00158	1.33437e+09	3.8455e+07	34.6994	Pass
2699	0.445828	4.79732e-14	9.29329e+12	60.3109	0.307017	196.442	1.0604e+07	1.05297e+06	10.0706	1.72944e+10	9.7978e+07	176.513	Fail
389	3.34426e-10	2.33249e-14	14337.7	2.26248	0.031128	72.6832	540403	215132	2.51196	6.27508e+07	1.07249e+07	5.85097	Pass
1557	2.57308e-10	4.02237e-14	6396.92	11.7217	0.065911	177.841	2.6601e+06	195342	13.6176	1.36798e+09	5.8421e+06	234.16	Pass
425	6.79315e-10	8.85015e-14	7675.75	1.93092	0.031888	60.5533	434696	229694	1.8925	3.61042e+07	1.1709e+07	3.08345	Pass
1550	3.62969e-09	2.11953e-13	17125	6.25896	0.058314	107.332	1.44985e+06	221373	6.54934	5.53763e+08	1.4321e+07	38.6679	Pass
410	4.34534e-10	6.02955e-13	720.675	4.09837	0.068111	60.172	970634	408800	2.37435	1.37704e+08	2.34113e+07	5.88195	Pass
2707	3.39349e-11	7.47985e-14	453.684	60.5997	0.047153	1285.17	1.17648e+07	268536	43.811	1.58655e+10	6.12326e+06	2591.03	Pass
2700	6.10352e-05	5.69317e-14	1.07208e+09	76.3244	0.233724	326.558	1.34439e+07	697198	19.2827	2.34228e+10	3.40322e+07	688.253	Fail
1559	9.05181e-09	4.62102e-14	195883	22.4967	0.075913	296.348	4.6017e+06	118681	38.7737	2.09702e+09	1.54079e+06	1361	Pass
2701	2.36495e-09	1.54069e-13	15350	77.8936	0.204749	380.435	1.70955e+07	769208	22.2248	3.25299e+10	3.68463e+07	882.854	Pass
736	3.52814e-12	4.37405e-14	80.6608	1.79444	0.049917	35.9486	348190	245782	1.41666	1.95211e+07	9.25082e+06	2.1102	Pass
570	1.1116e-12	3.159e-13	3.51884	7.61093	0.131421	57.9126	1.33318e+06	437595	3.0466	3.35374e+08	5.9542e+07	5.63255	Pass
1192	4.33681e-18	5.32072e-17	0.0815079	2.55718	1.74945	1.46171	68874	84792	0.81227	97383	115756	0.841278	Pass
826	2.17119e-09	1.90496e-13	11397.6	4.92039	0.093657	52.5363	1.17082e+06	619116	1.89112	1.972e+08	5.99217e+07	3.29096	Pass
2702	1.13393e-10	1.00676e-13	1126.32	84.8094	0.236717	358.273	1.51412e+07	767494	19.7281	2.7342e+10	4.16228e+07	656.899	Pass
1563	3.87968e-10	1.4985e-13	2589.04	10.0838	0.106782	94.4333	2.32954e+06	397894	5.85468	1.19091e+09	4.22368e+07	28.196	Pass
2703	5.35104e-05	4.66012e-14	1.14826e+09	81.4969	0.319103	255.394	1.42837e+07	998025	14.3119	2.58068e+10	6.65943e+07	387.523	Fail
2704	3.81474e-06	1.78983e-13	2.13134e+07	87.8648	0.20598	426.569	1.64282e+07	822588	19.9713	3.20077e+10	3.8914e+07	822.523	Pass
1916	1.56808e-08	4.22154e-16	3.71447e+07	4.97255	0.079271	62.7285	1.23522e+06	612051	2.01816	1.55383e+08	4.28636e+07	3.62505	Pass
1249	3.33752e-09	3.48674e-12	957.204	11.4873	0.292985	39.2079	2.66175e+06	1.59292e+06	1.67099	7.84053e+08	3.08194e+08	2.54402	Pass
444	2.7934e-10	9.5965e-14	2910.85	3.36353	0.07426	45.2939	839019	390736	2.14728	1.55007e+08	2.71072e+07	5.71831	Pass
2413	7.57176e-10	6.7021e-12	112.976	6.05766	0.262125	23.1098	1.38978e+06	948968	1.46452	1.34121e+08	6.69744e+07	2.00257	Pass
224	6.47082e-12	1.53161e-14	422.485	8.82551	0.029336	300.842	1.29383e+06	110764	11.681	5.7147e+08	4.33238e+06	131.907	Pass
2693	2.56807e-10	5.35249e-15	47978.9	244.71	0.075519	3240.38	4.72801e+07	224238	210.848	1.78156e+11	2.44039e+06	73003.2	Pass
1380	2.73448e-13	2.75631e-16	992.079	1.09218	0.064146	17.0265	85301	70433	1.21109	730162	568515	1.28433	Pass
423	2.45355e-11	2.51972e-13	97.3738	3.18335	0.05641	56.4323	570107	376494	1.51425	7.18519e+07	3.8655e+07	1.8588	Pass
839	3.01623e-12	1.09507e-14	275.438	1.72103	0.030665	56.1237	363272	198128	1.83352	1.55207e+07	4.92504e+06	3.15138	Pass
461	3.15777e-15	7.57123e-14	0.0417075	2.09004	0.090071	23.2044	325764	229370	1.42026	8.55417e+06	4.89424e+06	1.7478	Pass
288	1.52581e-10	5.33085e-16	286223	5.7672	0.121062	47.6384	1.37456e+06	825003	1.66612	1.59151e+08	6.15837e+07	2.58431	Pass
1303	2.68119e-14	1.63996e-15	16.3491	0.607865	0.036325	16.7341	98896	95977	1.03041	361317	341899	1.05679	Pass
864	2.25278e-06	2.85387e-16	7.89378e+09	2.08776	0.033813	61.7442	472435	213563	2.21216	8.29226e+07	1.67322e+07	4.95586	Pass
2819	1.58831e-10	1.91135e-14	8309.89	3.35729	0.050044	67.0868	805371	320421	2.51348	9.75939e+07	1.83707e+07	5.31247	Pass
1183	6.62469e-11	1.12996e-16	586278	51.2946	0.091045	563.398	7.36917e+06	361529	20.3834	5.94608e+09	2.36743e+07	251.161	Pass
1376	1.10775e-08	1.86468e-12	5940.69	14.1923	0.101577	139.719	1.37142e+06	222984	6.15033	1.32528e+08	4.41381e+06	30.0257	Pass
1441	2.39978e-10	4.37611e-16	548381	0.851628	0.018331	46.4583	180050	134859	1.3351	8.09017e+06	5.01736e+06	1.61244	Pass
1262	5.59015e-11	5.54767e-12	10.0766	5.24568	0.321392	16.3217	1.12125e+06	1.322e+06	0.848144	8.28803e+07	1.17303e+08	0.70655	Pass
1560	2.13268e-08	2.13861e-12	9972.27	18.4693	0.158389	116.607	4.20951e+06	623978	6.74625	2.93276e+09	6.03311e+07	48.6111	Pass
1624	1.862e-12	6.15961e-15	302.292	1.12535	0.057082	19.7146	204985	358753	0.571382	3.93586e+06	1.58715e+07	0.247984	Pass
2565	0.000147539	9.0029e-05	1.63879	2.0346	0.05461	37.257	402172	241130	1.66786	7.33837e+06	2.81863e+06	2.60352	Pass
763	2.54241e-14	5.37073e-16	47.3383	3.00091	0.169512	17.7033	227900	200697	1.13554	2.25706e+06	3.0725e+06	0.7346	Pass
365	1.37668e-14	3.00134e-16	45.8687	3.17992	0.291199	10.9201	98172	100687	0.975022	966989	1.57226e+06	0.615029	Pass
1193	0	6.96871e-17	0	3.1643	1.87206	1.69027	87500	108966	0.803003	124287	151925	0.818081	Pass
439	0.000457411	6.35676e-16	7.19566e+11	3.35168	0.060118	55.7517	807844	233187	3.46436	1.13527e+08	1.06688e+07	10.641	Fail
867	1.55789e-10	2.1509e-12	72.4294	4.94895	0.383459	12.9061	1.19574e+06	1.98347e+06	0.602851	1.03358e+08	2.15273e+08	0.480126	Pass
1561	9.53732e-09	7.64603e-14	124735	26.9583	0.063207	426.508	6.05396e+06	197445	30.6615	4.63401e+09	4.23003e+06	1095.5	Pass
2569	1.03102	3.40294e-15	3.0298e+14	17.9896	0.36874	48.7867	4.41399e+06	2.32956e+06	1.89478	1.48394e+09	5.55895e+08	2.66947	Fail
582	2.023e-07	7.18187e-12	28168.1	21.813	1.14297	19.0845	4.66591e+06	5.34168e+06	0.873491	1.96105e+09	4.20105e+09	0.466801	Pass
549	2.67123e-06	1.2742e-12	2.0964e+06	15.6629	0.630179	24.8548	3.49092e+06	2.61062e+06	1.3372	1.51901e+09	1.16083e+09	1.30856	Pass
428	6.47617e-11	1.81052e-13	357.697	3.03301	0.078586	38.5948	671902	471422	1.42527	6.16535e+07	3.84881e+07	1.60188	Pass
1426	2.74826e-07	5.43325e-12	50582.2	70.5531	3.02564	23.3184	1.7102e+07	1.66344e+07	1.02811	1.65162e+10	2.01303e+10	0.820467	Pass
1562	1.53871e-09	8.12785e-14	18931.3	33.0958	0.135069	245.029	5.65541e+06	237025	23.86	1.96154e+09	9.38673e+06	208.97	Pass
543	2.50546e-13	4.44296e-16	563.917	51.8193	0.120988	428.302	5.44452e+06	119272	45.648	7.36784e+09	1.44676e+06	5092.64	Pass
572	9.68534e-13	2.33101e-13	4.155	10.9968	0.269124	40.8615	1.92662e+06	848500	2.27061	5.24573e+08	1.42963e+08	3.66929	Pass
1218	5.96046e-08	1.11512e-11	5345.13	25.7658	0.937064	27.4963	4.61456e+06	5.23818e+06	0.880948	1.84596e+09	2.55761e+09	0.721752	Pass
1194	1.35525e-18	8.60924e-17	0.0157418	4.06	4.44848	0.912672	107975	133323	0.809875	153351	198166	0.773851	Pass
1565	1.33013e-09	1.01942e-13	13048	80.8137	0.120093	672.926	1.49388e+07	255601	58.446	1.50588e+10	7.42216e+06	2028.9	Pass
1558	5.44744e-10	2.07091e-13	2630.46	17.6678	0.110907	159.303	4.09047e+06	415684	9.84033	3.49161e+09	5.32819e+07	65.5309	Pass
2828	1.88069e-09	3.61727e-16	5.19921e+06	3.17608	0.094268	33.692	653635	270799	2.41373	3.03218e+07	4.48401e+06	6.76222	Pass
819	2.05035	0	Inf	6.57102	0.013248	496.001	1.36603e+06	130371	10.478	3.99568e+08	0	Inf	Fail
395	6.86716e-10	5.38292e-14	12757.3	5.1195	0.059385	86.2086	1.2218e+06	481806	2.53588	1.77593e+08	3.05699e+07	5.80939	Pass
1443	9.342e-14	5.43952e-16	171.743	7.20115	0.12524	57.4988	1.78851e+06	642171	2.7851	1.65941e+08	2.74732e+07	6.04012	Pass
1247	9.67302e-10	1.06562e-09	0.90774	11.731	0.330419	35.5033	2.98626e+06	1.91333e+06	1.56076	5.78879e+08	2.91078e+08	1.98874	Pass
901	1.40689e-11	1.89561e-14	742.185	307.249	0.149091	2060.81	2.08377e+07	637364	32.6936	1.43541e+10	6.32424e+07	226.97	Pass
2214	2.04019e-11	6.24425e-14	326.732	201.268	0.730455	275.538	4.50621e+07	5.69391e+06	7.91408	1.68023e+11	1.49286e+08	1125.51	Pass
2694	3.21305e-09	7.66938e-15	418945	634.261	0.211337	3001.18	1.23808e+08	467026	265.099	7.55242e+11	8.15604e+06	92599.1	Pass
1272	1.97677e-10	5.00193e-11	3.95201	90.1307	4.01973	22.4221	2.21697e+07	7.88462e+06	2.81177	3.51428e+10	3.78211e+09	9.29185	Pass
1295	1.09587e-11	8.32667e-17	131610	718.378	0.242373	2963.94	1.89364e+08	160009	1183.46	1.17697e+12	300005	3.92318e+06	Pass
2695	1.85042e-09	2.151e-14	86025.9	612.249	0.206585	2963.67	1.08759e+08	473456	229.713	5.20353e+11	7.90979e+06	65785.9	Pass
738	2.76061e-12	2.07285e-13	13.3179	3.34185	0.094578	35.3343	632185	496160	1.27416	3.27221e+07	1.86475e+07	1.75477	Pass
1568	4.02539e-09	4.30094e-13	9359.33	28.1301	0.202897	138.642	6.07946e+06	684631	8.87991	5.56194e+09	9.16779e+07	60.6683	Pass
551	4.79238e-07	1.19883e-11	39975.6	24.8474	0.875436	28.3829	5.48541e+06	4.19729e+06	1.30689	2.80442e+09	2.82969e+09	0.991069	Pass
2537	6.93121e-09	5.81405e-15	1.19215e+06	1.82697	0.107605	16.9785	333722	246296	1.35496	5.55754e+06	3.47999e+06	1.597	Pass
455	7.41551e-12	1.15759e-10	0.06406	3.13662	0.072957	42.9927	466013	303683	1.53454	1.81355e+07	8.43902e+06	2.149	Pass
1874	9.08722e-09	1.86483e-15	4.87296e+06	2.34652	0.092276	25.4294	432420	221213	1.95477	1.04884e+07	1.3257e+06	7.91164	Pass
2708	1.15465e-10	1.71892e-14	6717.28	141.269	0.118236	1194.81	3.32655e+07	676131	49.1997	1.058e+11	2.08344e+07	5078.14	Pass
1567	2.9394e-10	3.57417e-13	822.401	36.4536	0.270166	134.93	7.81251e+06	769287	10.1555	1.05346e+10	1.61616e+08	65.1834	Pass
