id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
449,15,1.38778e-17,2.77556e-17,-0.693147,9.62615e-05,0.000733,0.131325,20,19,1.05263,18,18,1,Pass
185,50,7.77156e-16,0,Inf,9.16049e-05,0.00048,0.190844,36,27,1.33333,247,116,2.12931,Pass
186,76,1.05471e-15,2.77556e-17,3.63759,0.00011725,0.000396,0.296086,52,39,1.33333,546,303,1.80198,Pass
1199,98,1.473e-06,3.03577e-17,24.6053,0.000312425,0.000378,0.826521,169,130,1.3,431,197,2.18782,Pass
13,131,1.55431e-15,2.77556e-17,4.02535,0.000346467,0.002061,0.168106,174,149,1.16779,430,353,1.21813,Pass
464,144,1.95244e-06,1.83187e-15,20.787,0.000474952,0.000485,0.979282,233,206,1.13107,442,336,1.31548,Pass
97,160,2.498e-16,8.32667e-17,1.09861,0.00031285,0.0003,1.04283,123,102,1.20588,1421,1172,1.21246,Pass
14,167,8.88178e-16,8.32667e-17,2.36712,0.000389159,0.000507,0.767572,223,183,1.21858,680,557,1.22083,Pass
1177,169,3.88578e-16,8.32667e-17,1.54045,0.00031402,0.000391,0.80312,133,102,1.30392,1918,1422,1.3488,Pass
232,180,6.9124e-06,4.85723e-16,23.3787,0.0003324,0.000928,0.35819,305,282,1.08156,1375,1263,1.08868,Pass
103,218,5.32907e-15,4.996e-16,2.36712,0.000326909,0.000425,0.769198,322,261,1.23372,1111,731,1.51984,Pass
133,222,3.46945e-17,3.46945e-18,2.30259,0.000343345,0.000388,0.88491,249,216,1.15278,617,566,1.09011,Pass
462,188,3.64789e-06,6.10623e-16,22.5107,0.000437222,0.000664,0.658467,339,284,1.19366,802,494,1.62348,Pass
129,267,2.33147e-15,2.08167e-17,4.7185,0.000525884,0.000707,0.743825,376,315,1.19365,2390,1903,1.25591,Pass
274,281,0,0,NaN,0.00049217,0.000529,0.930378,299,205,1.45854,1615,873,1.84994,Pass
109,291,2.22045e-15,2.77556e-17,4.38203,0.000372238,0.000586,0.635218,336,243,1.38272,2843,1660,1.71265,Pass
262,292,5.26833e-06,1.44329e-15,22.0181,0.000504158,0.000805,0.626283,985,631,1.56101,8182,3060,2.67386,Pass
861,306,3.07636e-06,8.89046e-17,24.2672,0.000473134,0.000352,1.34413,504,503,1.00199,999,999,1,Pass
172,196,1.60714e-06,7.4721e-17,23.7917,0.000381805,0.000484,0.788853,327,299,1.09365,1390,1194,1.16415,Pass
132,320,6.93889e-17,5.20417e-17,0.287682,0.000485837,0.000558,0.870676,311,272,1.14338,857,725,1.18207,Pass
296,211,1.74925e-06,1.249e-16,23.3627,0.000343613,0.000795,0.432218,452,329,1.37386,3627,1657,2.1889,Pass
264,63,1.7354e-06,5.58591e-17,24.1594,0.000287764,0.000376,0.76533,107,89,1.20225,221,135,1.63704,Pass
106,377,1.21765e-13,4.11129e-15,3.38836,0.000614092,0.000589,1.0426,1235,667,1.85157,17473,4337,4.02882,Pass
318,396,9.22371e-07,9.78384e-16,20.6643,0.000449188,0.000402,1.11738,402,396,1.01515,555,543,1.0221,Pass
173,16,0,0,NaN,8.51303e-05,0.000228,0.373379,16,19,0.842105,21,20,1.05,Pass
263,250,4.75407e-06,4.996e-16,22.9762,0.000380747,0.000636,0.598659,413,335,1.23284,1021,533,1.91557,Pass
293,275,4.48774e-06,5.58581e-16,22.807,0.000355206,0.000547,0.649371,560,359,1.55989,5287,1854,2.85167,Pass
15,476,2.44249e-15,2.25514e-17,4.68498,0.00055936,0.000711,0.786723,664,512,1.29688,3441,2139,1.6087,Pass
334,467,4.66777e-06,5.05151e-15,20.6443,0.000951014,0.001919,0.495578,1801,1487,1.21116,16756,10467,1.60084,Pass
265,250,4.22307e-06,4.44089e-16,22.9756,0.000490561,0.000586,0.837135,432,333,1.2973,1160,528,2.19697,Pass
11,523,1.23235e-14,2.92127e-15,1.43949,0.000766262,0.000946,0.810002,973,813,1.1968,9126,8731,1.04524,Pass
188,297,3.40079e-06,1.33472e-15,21.6586,0.000566632,0.000689,0.822398,983,747,1.31593,10947,5847,1.87224,Pass
136,541,3.16691e-14,1.22402e-14,0.950615,0.000679925,0.000858,0.792453,897,689,1.30189,6239,3535,1.76492,Pass
102,557,1.30451e-15,1.07553e-16,2.4956,0.000577204,0.000695,0.830509,463,315,1.46984,13055,4020,3.24751,Pass
171,76,2.92052e-06,1.11022e-16,23.9931,0.000264257,0.00039,0.677582,99,93,1.06452,132,135,0.977778,Pass
2194,1,2e-07,0,Inf,6.06105e-05,0.002298,0.0263753,2,1,2,0,0,NaN,Pass
158,527,7.18176e-16,4.51028e-17,2.76777,0.000762843,0.001995,0.382377,700,478,1.46444,7126,2062,3.45587,Pass
273,667,6.53644e-15,2.77556e-16,3.15913,0.000933304,0.001569,0.59484,1190,1015,1.17241,15602,9068,1.72056,Pass
1326,60,1.65593e-06,2.22046e-16,22.7325,0.00011187,0.000423,0.264468,111,73,1.52055,442,149,2.96644,Pass
108,768,3.26128e-16,7.63278e-17,1.45225,0.00068564,0.000934,0.73409,925,882,1.04875,40434,31958,1.26522,Pass
298,796,3.1643e-06,5.88451e-17,24.708,0.000845641,0.000755,1.12005,1131,994,1.13783,2528,1983,1.27484,Pass
1195,588,7.12796e-06,1.11023e-16,24.8853,0.000680551,0.000896,0.759544,761,678,1.12242,1999,1602,1.24782,Pass
118,441,1.0518e-13,8.06646e-17,7.17313,0.000826336,0.000745,1.10918,1407,638,2.20533,12860,3313,3.88168,Pass
2417,420,1.94289e-15,4.68375e-17,3.72525,0.000512339,0.001037,0.494059,872,838,1.04057,9281,12655,0.733386,Pass
1325,740,4.78775e-06,3.78762e-16,23.2602,0.000658669,0.001149,0.573254,1664,1172,1.4198,13380,4438,3.01487,Pass
2734,765,5.18217e-06,1.26852e-15,22.1306,0.000849217,0.001026,0.827697,3064,1579,1.94047,65250,14549,4.48484,Pass
253,274,5.46771e-06,8.67396e-17,24.867,0.000370502,0.000545,0.67982,300,293,1.02389,597,561,1.06417,Pass
313,935,4.58964e-06,1.06991e-15,22.1795,0.000987843,0.001476,0.66927,3306,2832,1.16737,33942,24490,1.38595,Pass
2416,476,0,0,NaN,0.00077112,0.001199,0.643136,928,965,0.961658,13905,14560,0.955014,Pass
306,496,6.79867e-06,9.45424e-17,24.9987,0.000334136,0.000494,0.676389,577,496,1.16331,2996,2218,1.35077,Pass
1943,335,8.17273e-06,1.11022e-16,25.0221,0.00022652,0.000384,0.589896,277,267,1.03745,3213,2845,1.12935,Pass
323,1065,4.44802e-06,1.52656e-16,24.0953,0.00159658,0.001206,1.32386,4957,3371,1.47048,73111,32543,2.2466,Pass
141,883,5.45798e-05,3.48332e-16,25.7775,0.00137462,0.001565,0.878351,3424,1519,2.25411,85174,7553,11.2768,Fail
1630,1120,1.0108e-06,1.04066e-14,18.3916,0.00149646,0.001297,1.15379,5848,3730,1.56783,106760,45215,2.36116,Pass
239,1128,6.118e-06,1.11038e-16,24.7324,0.00119854,0.001345,0.891108,5091,3578,1.42286,70740,34486,2.05127,Pass
113,1182,0,1.1189e-16,-Inf,0.000847049,0.00147,0.576224,1076,1066,1.00938,24794,26421,0.93842,Pass
2338,1174,4.90452e-06,2.58268e-15,21.3646,0.000677645,0.000888,0.763114,1510,1319,1.14481,30867,21917,1.40836,Pass
316,1201,8.99064e-15,2.95373e-17,5.71829,0.00141804,0.001158,1.22456,2361,1993,1.18465,5446,3979,1.36869,Pass
6,687,4.43435e-06,3.51349e-17,25.5612,0.000478275,0.000719,0.665195,1879,721,2.6061,36542,4107,8.89749,Pass
93,1296,1.11022e-15,1.22298e-16,2.20586,0.00110839,0.000945,1.1729,861,768,1.12109,29227,9773,2.99059,Pass
175,319,3.13548e-06,8.39169e-13,15.1336,0.00043001,0.000531,0.809812,657,527,1.24668,4279,4425,0.967006,Pass
174,248,1e-06,2.36356e-17,24.4683,0.000672556,0.000654,1.02837,390,348,1.12069,851,508,1.6752,Pass
94,1377,7.35523e-16,1.04083e-16,1.95539,0.00161239,0.001114,1.44739,2243,2042,1.09843,176523,98086,1.79968,Pass
1189,1109,4.4483e-06,1.11022e-14,19.8086,0.000996061,0.001419,0.701946,1889,1502,1.25766,6102,3405,1.79207,Pass
115,544,8.74301e-16,0,Inf,0.000682674,0.001023,0.667326,490,431,1.13689,9063,16869,0.537258,Pass
119,1461,1.76705e-13,3.88578e-16,6.11974,0.00177544,0.001867,0.950959,3143,2310,1.36061,48114,27973,1.72002,Pass
95,1491,7.59809e-16,1.80411e-16,1.43783,0.00209105,0.002511,0.832756,2097,2043,1.02643,106853,153584,0.69573,Pass
215,1360,1.04284e-05,3.55271e-15,21.8001,0.0022838,0.0021,1.08752,5017,3848,1.30379,86661,42247,2.05129,Fail
1198,796,1.80918e-05,5.55437e-16,24.2067,0.00112967,0.001351,0.836173,1448,1135,1.27577,6778,3962,1.71075,Fail
2559,1514,6.12215e-06,3.04269e-15,21.4224,0.00175659,0.001616,1.087,4986,3214,1.55134,82050,37429,2.19215,Pass
1112,708,4.61844e-06,2.83139e-15,21.2126,0.000922434,0.000895,1.03065,1385,1061,1.30537,5880,2678,2.19567,Pass
16,1612,6.68354e-14,1.80411e-16,5.91475,0.00182293,0.001981,0.920207,2289,1889,1.21175,36568,33122,1.10404,Pass
1169,1564,6.62323e-06,8.32667e-17,25.0996,0.00147672,0.001748,0.844805,3154,2415,1.306,13665,6668,2.04934,Pass
17,1623,4.19387e-14,2.13718e-15,2.97672,0.00211287,0.002003,1.05485,2780,2001,1.38931,20656,8261,2.50042,Pass
117,1629,3.91909e-14,4.85723e-16,4.39056,0.00195102,0.002177,0.896197,2758,2360,1.16864,49480,67909,0.728622,Pass
247,1,0,0,NaN,6.10575e-05,0.000252,0.242292,2,1,2,0,0,NaN,Pass
249,1,0,0,NaN,6.06254e-05,0.000635,0.0954731,2,1,2,0,0,NaN,Pass
248,1,0,0,NaN,5.00157e-05,0.000277,0.180562,2,1,2,0,0,NaN,Pass
268,429,3.46825e-06,9.71445e-17,24.2985,0.000784747,0.001063,0.738238,835,616,1.35552,5172,2185,2.36705,Pass
116,1743,3.19914e-13,4.43395e-15,4.27876,0.00224619,0.00187,1.20117,5628,3267,1.72268,167502,66361,2.5241,Pass
1641,324,1.59249e-06,2.22546e-16,22.6912,0.000254273,0.000343,0.741321,325,324,1.00309,3723,3723,1,Pass
202,1753,2.94677e-13,1.24345e-14,3.16541,0.00211716,0.003423,0.61851,7002,7761,0.902203,157003,178621,0.878973,Pass
231,1752,3.63911e-06,2.51188e-15,21.094,0.00268335,0.003233,0.829988,7577,5619,1.34846,104577,52042,2.00947,Pass
96,1777,1.3288e-15,8.93383e-17,2.6996,0.00232806,0.002835,0.821185,3065,2454,1.24898,268498,215521,1.24581,Pass
2748,1783,7.50087e-05,1.66212e-14,22.2302,0.00287791,0.001673,1.72021,23635,4637,5.09705,1.72523e+06,56969,30.2837,Fail
884,1794,4.04754e-13,5.42309e-14,2.01003,0.0031862,0.003664,0.869596,10058,9993,1.0065,357213,397585,0.898457,Pass
335,1847,4.97487e-06,5.10716e-13,16.0918,0.00388972,0.00296,1.31409,14171,10875,1.30308,367570,205085,1.79228,Pass
267,1255,8.5995e-06,5.34555e-15,21.1987,0.00223453,0.002037,1.09697,4362,2917,1.49537,58339,22666,2.57386,Pass
321,1996,7.56696e-07,1.49524e-17,24.6474,0.00159197,0.001578,1.00885,1999,1996,1.0015,2747,2743,1.00146,Pass
266,2053,4.7752e-06,9.02111e-16,22.3897,0.00429104,0.002984,1.43802,15574,9871,1.57775,519340,206373,2.51651,Pass
1639,324,1.59249e-06,2.22546e-16,22.6912,0.000296749,0.000641,0.462947,325,324,1.00309,3723,3723,1,Pass
8,2208,1.96732e-13,3.4972e-15,4.02988,0.00178435,0.004076,0.43777,5093,4341,1.17323,104789,117833,0.889301,Pass
1864,2319,6.13975e-06,1.11022e-16,24.7361,0.00289988,0.002226,1.30273,24501,2325,10.5381,258356,7748,33.3449,Pass
2421,2342,1.90015e-13,2.04212e-14,2.23053,0.00387511,0.00419,0.924847,8680,7425,1.16902,202707,127034,1.59569,Pass
2015,2400,2.1574e-13,3.3723e-15,4.15848,0.00964342,0.011297,0.853627,26374,14484,1.82091,9.28636e+06,2.15789e+06,4.30344,Pass
926,2417,3.83669e-06,5.02257e-17,25.0591,0.00236035,0.002123,1.1118,11370,6851,1.65961,233488,81426,2.86749,Pass
122,2448,7.11653e-14,2.22045e-16,5.76988,0.00240606,0.002422,0.993419,3955,3526,1.12167,97148,104848,0.92656,Pass
254,1,0,0,NaN,6.18845e-05,0.000283,0.218673,2,1,2,0,0,NaN,Pass
310,2480,5.85956e-06,4.32154e-14,18.7251,0.00368598,0.004125,0.893571,13847,9269,1.4939,285216,131614,2.16706,Pass
311,2500,4.65441e-06,2.26388e-16,23.7466,0.00322969,0.002716,1.18913,14408,9829,1.46587,322436,158563,2.03349,Pass
121,2523,6.87228e-14,2.22045e-16,5.73496,0.00291379,0.006408,0.454711,5503,4895,1.12421,611306,524955,1.16449,Pass
100,2540,1.67455e-13,1.66533e-16,6.91327,0.00313524,0.002655,1.18088,9985,2976,3.35517,811969,127794,6.35373,Pass
1634,2580,2.57176e-06,2.31898e-14,18.5241,0.00436974,0.002717,1.6083,19554,11090,1.76321,593346,217256,2.73109,Pass
149,1217,5.7395e-06,1.11022e-16,24.6687,0.00138009,0.001939,0.711753,2537,2438,1.04061,13976,12812,1.09085,Pass
212,2572,6.17872e-06,6.14608e-17,25.3337,0.00167462,0.002166,0.773139,3912,2846,1.37456,68257,35079,1.94581,Pass
2749,2699,7.31963e-05,8.20605e-15,22.9115,0.0056117,0.003008,1.86559,66373,5805,11.4338,8.75409e+06,59469,147.204,Fail
203,2716,9.04914e-13,5.02376e-14,2.89108,0.00339593,0.003466,0.979784,13252,12486,1.06135,351236,389902,0.900831,Pass
929,2779,4.10036e-06,2.09034e-16,23.6996,0.00426966,0.002543,1.67899,14691,8663,1.69583,348471,115896,3.00676,Pass
190,2237,7.53577e-06,2.46205e-14,19.5393,0.00421632,0.003597,1.17218,18995,14073,1.34975,742403,392846,1.88981,Pass
269,1966,8.5995e-06,2.39305e-15,22.0024,0.00375795,0.00283,1.3279,7415,5486,1.35162,99969,54909,1.82063,Pass
307,1436,6.799e-06,7.35089e-17,25.2504,0.00090307,0.001189,0.759521,1580,1444,1.09418,6638,5466,1.21442,Pass
2718,2903,9.58495e-06,4.54714e-15,21.469,0.0028946,0.006133,0.471971,10692,8036,1.33051,170473,82107,2.07623,Pass
295,1555,2.17881e-06,8.72241e-17,23.9413,0.00214809,0.001394,1.54095,6520,4285,1.52159,123576,53538,2.30819,Pass
98,2916,2.12108e-13,2.94903e-15,4.27562,0.00341399,0.002666,1.28057,8206,4157,1.97402,1.02881e+06,191073,5.3844,Pass
1627,2814,1.27024e-05,4.12864e-16,24.1497,0.00287392,0.003339,0.860713,5752,5175,1.1115,28118,23600,1.19144,Fail
124,2953,1.47313e-14,3.70537e-15,1.38019,0.00343299,0.00287,1.19616,4057,5061,0.80162,237706,323416,0.734985,Pass
255,884,6.38643e-06,7.73687e-16,22.834,0.000847459,0.001447,0.585666,2178,1551,1.40426,18479,9554,1.93416,Pass
99,3082,3.60483e-13,7.82707e-15,3.82986,0.00339442,0.002596,1.30756,13017,6145,2.11831,829410,218521,3.79556,Pass
824,3019,8.85724e-06,2.45764e-15,22.0053,0.00315484,0.002574,1.22566,9846,6663,1.47771,267623,119978,2.2306,Pass
126,1613,2.19269e-14,2.77556e-16,4.36945,0.00199203,0.001944,1.02471,2313,2082,1.11095,29650,25355,1.16939,Pass
256,748,5.42648e-06,1.14145e-15,22.2823,0.00105327,0.001515,0.695228,2097,1358,1.54418,18850,7302,2.58148,Pass
2560,3170,2.31248e-06,5.24754e-15,19.9038,0.00275153,0.003464,0.794322,11089,7494,1.47972,195505,97111,2.01321,Pass
123,3214,3.66429e-13,1.79093e-14,3.01849,0.00383841,0.003885,0.988008,13294,8670,1.53333,533741,291280,1.8324,Pass
82,1,0,0,NaN,6.82622e-05,0.000221,0.308879,2,1,2,0,0,NaN,Pass
257,1743,8.37667e-06,2.03841e-15,22.1365,0.00170079,0.002568,0.662301,4602,3366,1.3672,69134,33928,2.03767,Pass
328,3234,9.8504e-06,2.98372e-16,24.2202,0.00469541,0.004493,1.04505,6579,5873,1.12021,33360,25459,1.31034,Pass
234,3240,5.29409e-06,2.36383e-16,23.8322,0.0036189,0.002484,1.45688,9877,8562,1.15359,114036,88003,1.29582,Pass
2691,3477,7.93719e-06,4.60336e-15,21.268,0.00803761,0.003063,2.6241,80479,8803,9.14222,1.29143e+07,108129,119.434,Pass
114,3493,2.7478e-15,2.11636e-16,2.56369,0.00265925,0.00565,0.470664,2603,2044,1.27348,547453,787630,0.695064,Pass
128,1564,4.11893e-14,4.16334e-16,4.59445,0.00156009,0.002139,0.729355,2530,1984,1.2752,92378,99929,0.924436,Pass
