id	myErr	matlabErr	ratio	myElaps	matlabElaps	ratio	mynnz	matlabnnz	ratio	myflop	matlabflop	ratio
2726	8.60327e-09	7.10622e-15	1.21067e+06	21.4738	0.041257	520.489	4.04502e+06	155802	25.9626	4.15931e+09	5.61765e+06	740.401	Pass
1543	3.95558e-10	6.95569e-13	568.683	2.20234	0.027193	80.9892	527037	84019	6.27283	8.80146e+07	2.5275e+06	34.8228	Pass
370	2.1438e-13	1.31864e-16	1625.76	12.3985	0.015839	782.785	489956	42255	11.5952	3.50707e+07	669456	52.3868	Pass
2668	7.03415e-11	3.11025e-14	2261.6	7.22548	0.025248	286.18	1.72639e+06	196652	8.77889	1.23972e+09	8.41397e+06	147.34	Pass
2670	8.41228e-10	2.32722e-14	36147.4	8.03071	0.068583	117.095	1.89006e+06	239858	7.8799	1.39067e+09	1.36988e+07	101.518	Pass
2669	6.36474e-10	2.13742e-14	29777.7	7.78321	0.063833	121.931	1.87543e+06	243645	7.69738	1.39904e+09	1.36351e+07	102.605	Pass
1866	3.63806e-12	6.66134e-16	5461.46	38.3769	0.402751	95.2869	5.14745e+06	5.84746e+06	0.880289	4.00151e+07	2.43826e+07	1.64113	Pass
2728	2.38419e-07	1.15782e-14	2.0592e+07	23.5655	0.059543	395.772	4.32168e+06	160588	26.9116	4.50431e+09	5.60418e+06	803.742	Pass
735	6.36505e-13	7.43257e-15	85.6373	0.756545	0.021928	34.5013	132465	93429	1.41781	4.76902e+06	2.46917e+06	1.93143	Pass
2727	7.45527e-08	1.48352e-14	5.02541e+06	22.6549	0.05823	389.059	4.18594e+06	167585	24.978	4.3047e+09	6.49002e+06	663.28	Pass
1206	3.82808e-11	4.38582e-16	87283	1.57184	0.041916	37.4999	387526	226395	1.71173	2.67828e+07	1.05888e+07	2.52935	Pass
2671	7.88908e-10	1.74112e-14	45310.4	8.32352	0.058835	141.472	2.05084e+06	247646	8.28135	1.65709e+09	1.41799e+07	116.862	Pass
2278	3.58178e-13	3.46945e-18	103238	2.36607	0.005575	424.408	267464	38060	7.02743	3.17501e+06	18844	168.489	Pass
2729	8.82474e-10	9.79403e-15	90103.2	23.7524	0.045721	519.508	4.34665e+06	164033	26.4986	4.41224e+09	5.67562e+06	777.402	Pass
2672	2.32836e-10	3.28547e-14	7086.84	8.20449	0.053877	152.282	2.11288e+06	242269	8.72123	1.69968e+09	1.32335e+07	128.437	Pass
568	1.74702e-10	1.04393e-13	1673.51	2.82168	0.059914	47.0955	487645	138495	3.52103	9.54895e+07	8.26016e+06	11.5603	Pass
363	3.06726e-05	2.13459e-14	1.43693e+09	1.57851	0.021736	72.6219	355380	142578	2.49253	5.23908e+07	1.0032e+07	5.22234	Fail
2733	3.64247e-08	7.11958e-15	5.11614e+06	16.8037	0.06568	255.843	3.59493e+06	192038	18.7199	3.38722e+09	9.35008e+06	362.266	Pass
2681	3.65138e-07	8.8234e-15	4.13829e+07	5.08821	0.078002	65.2319	755930	193242	3.91183	1.39741e+08	7.60826e+06	18.3671	Pass
2683	1.06598e-06	5.32951e-15	2.00014e+08	5.91928	0.087439	67.6961	784814	182899	4.29097	1.46483e+08	5.90042e+06	24.8258	Pass
2682	7.26141e-06	2.836e-15	2.56044e+09	4.26276	0.082146	51.8924	712039	193102	3.68737	1.21868e+08	7.12033e+06	17.1155	Pass
424	4.83349e-14	2.70745e-14	1.78525	1.81612	0.016842	107.833	437703	108843	4.02142	1.27112e+08	7.71116e+06	16.4841	Pass
866	1.58612e-11	1.40621e-12	11.2794	1.43856	0.079791	18.0291	336399	466503	0.721108	1.78616e+07	3.16942e+07	0.563561	Pass
2351	2.28955e-11	6.58088e-15	3479.09	0.734059	0.027651	26.5473	76428	65081	1.17435	663307	473432	1.40106	Pass
312	5.74125e-09	1.58398e-13	36245.7	4.0054	0.066802	59.9593	934849	437746	2.1356	1.65275e+08	4.46606e+07	3.70069	Pass
2684	4.78635e-06	1.46247e-14	3.27279e+08	6.11626	0.084345	72.5148	792755	200931	3.94541	1.47704e+08	7.87685e+06	18.7516	Pass
825	1.89802e-11	3.22147e-13	58.9179	1.99852	0.057977	34.4709	472217	342646	1.37815	5.87623e+07	3.0909e+07	1.90114	Pass
1404	0.000390589	5.3444e-14	7.30838e+09	0.940756	0.031239	30.1148	82571	63680	1.29666	549142	268604	2.04443	Fail
923	4.96778e-10	1.54683e-12	321.159	2.62318	0.05124	51.194	615200	292165	2.10566	7.08644e+07	1.95475e+07	3.62525	Pass
1185	3.40378e-11	2.62611e-14	1296.13	11.4032	0.023631	482.554	764526	48006	15.9256	7.56026e+07	119302	633.708	Pass
2686	7.88138e-07	1.01592e-15	7.75791e+08	5.37251	0.095453	56.2843	847150	225647	3.75432	1.63634e+08	8.71568e+06	18.7747	Pass
2687	4.13158e-07	2.85834e-14	1.44545e+07	6.80795	0.103992	65.4661	747380	216733	3.44839	1.27627e+08	7.75828e+06	16.4504	Pass
420	1.02788e-08	1.36201e-13	75468	1.05807	0.015061	70.252	216924	113605	1.90946	1.54788e+07	4.77832e+06	3.23938	Pass
1548	1.13173e-09	9.63245e-12	117.492	3.74191	0.035188	106.34	893049	93820	9.51875	2.41752e+08	2.19145e+06	110.316	Pass
2685	8.42188e-06	5.24017e-15	1.60718e+09	6.14471	0.075647	81.2287	788669	224837	3.50774	1.59188e+08	9.57578e+06	16.624	Pass
2688	5.44038e-07	1.36873e-14	3.97476e+07	6.4991	0.091199	71.2629	832819	218419	3.81294	1.55179e+08	7.71805e+06	20.106	Pass
918	2.98023e-08	2.64152e-12	11282.2	3.99153	0.08827	45.2195	770323	508540	1.51477	5.89591e+07	3.45408e+07	1.70694	Pass
2352	2.52361e-11	4.23447e-15	5959.68	0.862213	0.032974	26.1483	82740	69424	1.19181	720124	479583	1.50156	Pass
2697	1.90735e-06	1.97993e-14	9.63341e+07	10.1124	0.160897	62.8501	1.72819e+06	454913	3.79894	5.6932e+08	2.64592e+07	21.5169	Pass
