id,nnzA,myErr,umfErr,logratio,myElaps,umfElaps,ratio,mynnz,umfnnz,ratio,myflop,umfflop,ratio
2717,224897,1.62534e-09,6.18811e-15,12.4786,47.3876,0.174706,271.242,6.22055e+07,964529,64.4931,2.68516e+11,3.07884e+07,8721.34,Pass
284,213896,3.31358e-08,7.17915e-15,15.3449,0.278222,0.235077,1.18354,1.45722e+06,899300,1.62039,2.52117e+08,8.81241e+07,2.86093,Pass
586,205083,7.1333e-08,8.1484e-12,9.07729,1.03928,2.52553,0.411509,9.41623e+06,1.45492e+07,0.647198,4.3053e+09,1.57894e+10,0.27267,Pass
431,124358,0.000172072,5.65112e-16,26.4419,0.128294,0.098535,1.30201,1.11237e+06,602624,1.84587,1.06333e+08,3.34533e+07,3.17857,Fail
1309,229947,1.76293e-13,9.74277e-14,0.593037,0.0832429,0.095105,0.875274,253759,229953,1.10353,933156,779836,1.19661,Pass
740,75194,2.98566e-13,3.0245e-14,2.28966,0.0930454,0.058738,1.58408,321148,243134,1.32087,1.8141e+07,9.52859e+06,1.90385,Pass
2814,109117,9.8346e-09,1.08025e-12,9.11647,0.185714,0.765542,0.242592,1.81203e+06,3.37205e+06,0.537368,3.09089e+08,1.21426e+09,0.254549,Pass
742,75204,2.23016e-12,3.18898e-14,4.24754,0.106935,0.061862,1.72861,313449,241042,1.30039,1.80601e+07,9.10391e+06,1.98377,Pass
969,130500,10.87,3.04144e-13,31.2073,0.229334,0.150791,1.52087,1.90679e+06,1.08263e+06,1.76126,2.78775e+08,9.82618e+07,2.83707,Fail
808,237798,7.19958e-11,3.98504e-11,0.591474,0.585799,1.78047,0.329014,4.9061e+06,7.54222e+06,0.650485,3.2428e+09,9.22826e+09,0.351398,Pass
2829,238627,9.76306e-08,2.30824e-16,19.8628,0.314284,0.233598,1.34541,1.1259e+06,542881,2.07394,4.66969e+07,9.15208e+06,5.10233,Pass
1348,242669,1.52912e-07,3.45385e-15,17.6059,12.052,4.74626,2.53926,2.73672e+07,2.57859e+07,1.06132,5.84544e+10,6.07151e+10,0.962764,Pass
1375,187925,2.94759e-09,1.13676e-12,7.86056,2.03504,0.284742,7.14696,4.39779e+06,267330,16.4508,8.19728e+08,1.17766e+06,696.063,Pass
2242,507,1.82991e-11,3.92837e-14,6.1438,0.000764661,0.000832,0.919064,863,773,1.11643,5053,3893,1.29797,Pass
886,253350,9.9131e-11,2.67471e-11,1.31002,0.873531,5.12143,0.170564,8.82479e+06,2.049e+07,0.430687,3.72647e+09,1.4986e+10,0.248663,Pass
1293,255004,6.97295e-11,1.38917e-14,8.52109,168.232,0.749093,224.581,9.66366e+07,405046,238.582,5.27552e+11,1.39012e+06,379501,Pass
1319,254551,0.000273931,5.36402e-16,26.959,0.363438,0.288853,1.25821,3.72589e+06,2.21171e+06,1.68462,8.17635e+08,3.12204e+08,2.61891,Fail
415,174622,3.11566e-05,3.57204e-16,25.1917,0.111267,0.05528,2.01279,1.05263e+06,401398,2.62241,9.37463e+07,1.73044e+07,5.41747,Fail
578,198542,2.14387e-12,3.33622e-12,-0.442227,0.586397,0.585034,1.00233,3.64642e+06,1.99698e+06,1.82597,1.18242e+09,4.7625e+08,2.48278,Pass
452,237759,5.58364e-17,7.44196e-15,-4.89246,0.369863,0.200838,1.8416,1.26444e+06,804683,1.57135,3.39085e+07,1.54634e+07,2.19282,Pass
1428,281150,2.48887e-10,1.06026e-15,12.3662,2.12281,1.76627,1.20186,1.60402e+07,1.22036e+07,1.31438,1.13032e+10,9.89308e+09,1.14254,Pass
588,256603,4.22068e-07,1.39349e-11,10.3185,1.72581,3.2459,0.531689,1.1944e+07,1.87111e+07,0.638336,5.52787e+09,1.99663e+10,0.276859,Pass
1908,286341,3.03473e-14,2.77285e-16,4.69542,0.24135,0.221055,1.09181,167110,93846,1.78068,6.55924e+08,6.23689e+08,1.05168,Pass
554,254780,1.41137e-10,1.05896e-11,2.58986,2.10755,2.01588,1.04547,9.16149e+06,9.95677e+06,0.920127,5.52764e+09,1.01333e+10,0.545492,Pass
814,293409,1.56973e-10,4.63599e-16,12.7326,0.5061,0.431208,1.17368,3.346e+06,2.2676e+06,1.47557,2.1621e+09,1.11449e+09,1.93999,Pass
920,268032,1.54574e-07,2.32984e-12,11.1026,1.7287,2.01852,0.856417,9.20988e+06,1.22356e+07,0.752712,8.12965e+09,1.56054e+10,0.520951,Pass
2199,295680,4.00648e-10,1.82112e-12,5.39363,17.2557,7.64172,2.25809,3.77853e+07,3.23146e+07,1.1693,1.49591e+11,1.16248e+11,1.28683,Pass
1261,298496,1.31616e-11,4.00175e-11,-1.11202,0.985712,2.52166,0.390897,5.46269e+06,4.29164e+06,1.27287,2.2382e+09,6.7389e+09,0.332132,Pass
1576,298554,7.21757e-09,5.43067e-13,9.4948,3.00435,1.43735,2.0902,1.73993e+07,3.80846e+06,4.56858,1.7826e+10,2.12825e+09,8.37589,Pass
1302,299998,0,4.31245e-13,-Inf,3.02559,0.60339,5.01432,732162,681723,1.07399,3.95397e+06,3.78767e+06,1.0439,Pass
2538,274697,3.19333e-08,2.0471e-14,14.2602,0.137477,0.194245,0.707751,780393,523188,1.49161,1.92747e+07,9.05866e+06,2.12776,Pass
1358,305630,9.50214e-09,1.76079e-14,13.1987,3.60757,2.94377,1.22549,1.64954e+07,1.54648e+07,1.06664,2.99993e+10,3.223e+10,0.930787,Pass
373,255068,4.41569e-11,4.72955e-14,6.83909,148.018,0.882592,167.708,4.30162e+07,410626,104.758,9.40773e+10,8.10664e+06,11605,Pass
744,75204,3.97767e-12,3.02449e-14,4.87912,0.0931337,0.057014,1.63352,321292,241119,1.3325,1.80321e+07,9.10548e+06,1.98036,Pass
1577,310016,2.7604e-09,8.87454e-13,8.04253,4.52478,1.01113,4.47497,1.82351e+07,2.72526e+06,6.69115,2.17509e+10,8.12857e+08,26.7586,Pass
2821,302824,1.31166e-09,7.05871e-11,2.9222,0.358637,0.255585,1.4032,3.60498e+06,1.65098e+06,2.18354,7.30275e+08,1.65713e+08,4.40688,Pass
350,315891,1.49536e-20,3.50406e-16,-10.0619,0.376412,0.263691,1.42747,3.20664e+06,1.91675e+06,1.67296,1.23255e+09,5.26205e+08,2.34233,Pass
446,324759,1.59763e-09,1.82435e-08,-2.43529,0.3185,0.399095,0.798056,3.07906e+06,3.20636e+06,0.960297,6.10389e+08,7.92807e+08,0.769909,Pass
762,326051,2.30569e-11,5.10553e-12,1.50764,0.731927,2.34872,0.311628,3.75512e+06,7.49999e+06,0.500683,1.29589e+09,6.51446e+09,0.198926,Pass
1384,326799,3.65263e-10,1.01774e-11,3.58045,15.2166,7.40842,2.05396,4.03691e+07,8.12993e+06,4.96549,8.71355e+10,1.03222e+10,8.4416,Pass
1436,322253,1.68191e-12,4.91815e-12,-1.073,0.224641,0.275884,0.814259,2.12925e+06,1.66479e+06,1.27899,2.15903e+08,1.51502e+08,1.42508,Pass
809,152001,1.1956e-10,3.48731e-16,12.745,0.35992,0.295005,1.22005,3.5474e+06,1.91086e+06,1.85644,7.82136e+08,2.60642e+08,3.0008,Pass
